名字, 地址1, 环礁, 距马累（公里）, 沙屋, 水屋, 餐厅+酒吧, 消费等级, 上岛交通, 链接
欢乐岛（经济）,Bodufinolhu,南马累环礁,37,75,0,4,经济,快艇,http://www.maldiveschina.com/property/bodufinolhu
瓦度岛（奢华）,Vadoo,南马累环礁,10,0,50,4,奢华,快艇,http://www.maldiveschina.com/property/adaaran-prestige-vadoo
薇拉莎露岛（奢华）,Velassaru,南马累环礁,12,83,46,7,奢华,快艇,http://www.maldiveschina.com/property/velassaru
绚丽岛（经济）,Rannalhi,南马累环礁,34,96,43,2,经济,快艇,http://www.maldiveschina.com/property/adaaran-club-rannalhi
康杜玛岛（性价比）,Kandooma Fushi,南马累环礁,35,140,20,7,性价比,快艇,http://www.maldiveschina.com/property/kandooma-fushi
娜拉杜岛（顶级）,1903 Hollywood Boulevard; Hollywood; FL 33020; USA,,21,19,0,1,顶级,快艇,http://www.maldiveschina.com/property/naladhu-maldives
笛古岛（奢华）,Dhigu,南马累环礁,21,70,40,4,奢华,快艇,http://www.maldiveschina.com/property/anantara-dhigu-resort-spa
白雅湖岛（经济）,Biyadhoo,南马累环礁,28,96,0,2,经济,快艇,http://www.maldiveschina.com/property/biyadoo
茵布杜岛（经济）,Embudhu,南马累环礁,10,106,16,2,经济,快艇,http://www.maldiveschina.com/property/embudhu
瑞希维丽岛（经济）,Rihiveli,南马累环礁,41,48,0,2,经济,快艇,http://www.maldiveschina.com/property/rihiveli
双鱼岛（性价比）,Olhuveli Island,South Male Atoll,34,104,60,7,性价比,快艇,http://www.maldiveschina.com/property/olhuveli
可可亚岛（奢华）,Makunufushi,南马累环礁,30,0,33,2,奢华,快艇,http://www.maldiveschina.com/property/makunufushi
菲哈后岛（经济）,Fihalhohi,南马累环礁,28,138,12,4,经济,快艇,http://www.maldiveschina.com/property/fihalhohi
泰姬魅力岛（奢华）,En'boodhoofinolhu,南马累环礁,8,30,32,5,奢华,快艇,http://www.maldiveschina.com/property/enboodhoofinolhu
库达拉岛（奢华）,Kuda Rah,南阿里环礁,95,37,14,2,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/kuda-rah
塞路维里加岛（性价比）,Thelu Veliga,南马累环礁,90,10,20,2,性价比,水上飞机,http://www.maldiveschina.com/property/thelu-veliga
甘格西岛（奢华）,Gangehi,北马累环礁,77,29,16,3,奢华,水上飞机,http://www.maldiveschina.com/property/gangehi
安嘎嘎岛（性价比）,Angaga Island,South Ari Atoll,85,50,40,2,性价比,水上飞机,http://www.maldiveschina.com/property/angaga
蜜莉喜岛（奢华）,Mirihi,南阿里环礁,101,6,30,4,奢华,水上飞机,http://www.maldiveschina.com/property/mirihi
坎多卢岛（奢华）,kandholhudhoo,北阿里环礁,70,19,11,5,奢华,水上飞机,http://www.maldiveschina.com/property/kandholhudhoo
宁静岛（奢华）,Fesdu Island,北阿里环礁,80,31,47,6,奢华,水上飞机,http://www.maldiveschina.com/property/fesdu
萨芙莉岛（性价比）,Mushimasgali Island,北阿里环礁,70,30,54,2,性价比,水上飞机,http://www.maldiveschina.com/property/mushimasgali
马富士瓦鲁岛（性价比）,Maafushivaru,南马累环礁,92,26,22,5,性价比,水上飞机,http://www.maldiveschina.com/property/maafushivaru
艾丽湖岛（性价比）,Ellaidhoo,北阿里环礁,42,88,24,3,性价比,水上飞机,http://www.maldiveschina.com/property/cinnamon-ellaidhoo-maldives
维利甘度岛（性价比）,Veligandu; Rasdhoo环礁; 北阿里环礁; 马尔代夫,,56,27,64,4,性价比,水上飞机,http://www.maldiveschina.com/property/veligandu
伦格里岛（顶级）,Rangali Island,南阿里环礁,107,79,71,11,顶级,水上飞机; 陆基飞机,http://www.maldiveschina.com/property/rangali
巴塔拉岛（经济）,Bathala,北阿里环礁,65,46,0,2,经济,快艇; 水上飞机,http://www.maldiveschina.com/property/bathala
泰达芙士岛（性价比）,Thudufushi,南阿里环礁,96,47,23,5,性价比,水上飞机,http://www.maldiveschina.com/property/thudufushi
魔富士岛（奢华）,Moofushi,南阿里环礁,92,24,86,4,奢华,水上飞机,http://www.maldiveschina.com/property/moofushi
库拉玛蒂岛（性价比）,Kuramathi Island,北阿里环礁,56,220,70,13,性价比,水上飞机,http://www.maldiveschina.com/property/kuramathi
蕉叶岛（性价比）,Vakarufalhi,南阿里环礁,94,50,25,2,性价比,水上飞机,http://www.maldiveschina.com/property/vakarufalhi
假日岛（经济）,Dhiffushi,南阿里环礁,97,142,0,2,经济,水上飞机,http://www.maldiveschina.com/property/dhiffushi
马杜加里岛（经济）,Madoogali,北阿里环礁,84,56,0,3,经济,水上飞机,http://www.maldiveschina.com/property/madoogali
哈拉薇莉岛（奢华）,Halaveli,阿里环礁,67,28,58,5,奢华,水上飞机,http://www.maldiveschina.com/property/halaveli
盛泰乐中央格兰德岛（奢华）,Machchafushi,阿里环礁,90,50,62,5,奢华,水上飞机; 陆基飞机,http://www.maldiveschina.com/property/machchafushi-island
莉莉岛（奢华）,Huvahendhoo Island,南阿里环礁,86,79,40,7,奢华,水上飞机,http://www.maldiveschina.com/property/huvahendhoo
尼卡岛（奢华）,Nika Island,北阿里环礁,83,33,10,2,奢华,水上飞机,http://www.maldiveschina.com/property/nika
丽世岛（奢华）,Dhidhoofinolhu,南阿里环礁,104,105,88,8,奢华,快艇,http://www.maldiveschina.com/property/dhidhoofinolhu
拉维丽乡村酒店（性价比）,Villingilivaru Island,南阿里环礁,80,56,0,3,性价比,水上飞机,http://www.maldiveschina.com/property/villingilivaru
阿沙格岛（性价比）,Arthuruga,南阿里环礁,83,47,23,4,性价比,水上飞机,http://www.maldiveschina.com/property/arthuruga
太阳岛（性价比）,Nalaguraidhoo,南阿里环礁,109,358,68,11,性价比,陆基飞机,http://www.maldiveschina.com/property/nalaguraidhoo
维利多岛（经济）,Velidhoo,北阿里环礁,77,80,20,2,经济,水上飞机,http://www.maldiveschina.com/property/velidhoo
